Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2026-02-18 16:59:35,false,"Weight lift - core","0.46","234","00:30:59","132","162","2.5","12","150","0.9","3.9","16","16","1.14","--","--","--","--","--","0.0","--","--","--","--","--","302","--","--","-3","No","00:00:15.6","36","--","--","--","--","--","--","--","--","00:18:23","00:30:59","708","718"
Strength Training,2026-02-18 16:12:16,false,"Weight lift - legs","0.05","204","00:44:35","102","152","1.4","10","158","0.1","7.8","--","3","0.02","--","--","--","--","--","0.0","--","--","--","--","--","428","--","--","-2","No","00:00:02.0","46","--","--","--","--","--","--","--","--","00:01:23.7","00:44:41","696","717"
Strength Training,2026-02-16 17:11:58,false,"Weight lift - core","0.56","282","00:38:20","132","156","2.4","6","158","0.9","5.0","20","13","0.68","--","--","--","--","--","0.0","--","--","--","--","--","104","--","--","-2","No","00:00:06.2","44","--","--","--","--","--","--","--","--","00:20:13","00:38:30","717","726"
Strength Training,2026-02-16 16:24:05,false,"Weight lift - chest and biceps","0.08","214","00:44:15","109","141","1.1","11","131","0.1","3.7","3","--","0.27","--","--","--","--","--","0.0","--","--","--","--","--","636","--","--","-2","No","00:00:18.1","44","--","--","--","--","--","--","--","--","00:03:35","00:44:31","715","726"
Strength Training,2026-02-03 11:38:49,false,"Weight lift - chest and biceps","0.05","206","00:41:35","108","145","1.1","8","158","0.1","1.9","3","--","0.33","--","--","--","--","--","0.0","--","--","--","--","--","200","--","--","-3","No","00:00:15.1","44","--","--","--","--","--","--","--","--","00:02:01","00:41:35","698","726"
Strength Training,2026-01-23 11:51:02,false,"Weight lift - back and triceps","0.04","209","00:37:23","113","139","1.2","9","196","0.1","3.6","3","--","0.21","--","--","--","--","--","0.0","--","--","--","--","--","654","--","--","-2","No","00:00:11.9","43","--","--","--","--","--","--","--","--","00:01:28","00:37:23","705","728"
Strength Training,2026-01-22 11:34:37,false,"Weight lift - core","1.14","265","00:54:22","110","157","1.7","7","167","1.3","8.2","46","23","1.27","--","--","--","--","--","0.0","--","--","--","--","--","362","--","--","-3","No","00:00:03.1","54","--","--","--","--","--","--","--","--","00:23:15","00:54:30","719","749"
Strength Training,2026-01-21 11:37:16,false,"Weight lift - legs","0.28","196","00:45:54","100","146","0.7","7","187","0.4","4.0","13","3","0.69","--","--","--","--","--","0.0","--","--","--","--","--","446","--","--","-3","No","00:00:18.6","44","--","--","--","--","--","--","--","--","00:09:24","00:45:54","711","732"
Strength Training,2026-01-19 11:58:25,false,"Weight lift - chest and biceps","0.11","186","00:41:05","104","137","0.8","10","250","0.2","5.5","3","3","0.26","--","--","--","--","--","0.0","--","--","--","--","--","626","--","--","-2","No","00:00:13.9","44","--","--","--","--","--","--","--","--","00:02:52","00:41:05","707","724"
Strength Training,2026-01-16 11:35:26,false,"Weight lift - back and triceps","0.07","191","00:39:20","108","143","0.7","7","158","0.1","4.4","3","--","0.38","--","--","--","--","--","0.0","--","--","--","--","--","308","--","--","-2","No","00:00:18.2","43","--","--","--","--","--","--","--","--","00:02:51","00:39:26","690","726"
Indoor Cycling,2026-01-15 11:34:58,false,"Midday bike","0.00","316","00:35:06","140","160","2.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-4","No","00:35:06","1","--","--","--","--","--","--","--","--","00:00:00","00:35:06","--","--"
Strength Training,2026-01-14 11:40:04,false,"Weight lift - legs","0.07","188","00:44:33","100","142","1.0","9","176","0.1","9.1","--","--","0.53","--","--","--","--","--","0.0","--","--","--","--","--","344","--","--","-2","No","00:00:09.0","44","--","--","--","--","--","--","--","--","00:02:10","00:44:57","703","722"
Indoor Cycling,2026-01-13 11:41:17,false,"Midday bike","0.00","304","00:35:28","138","162","2.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-6","No","00:35:28","1","--","--","--","--","--","--","--","--","00:00:00","00:35:28","--","--"
Strength Training,2026-01-12 11:39:29,false,"Weight lift - chest and biceps","0.06","202","00:38:37","111","147","1.1","13","147","0.1","2.8","3","--","0.07","--","--","--","--","--","0.0","--","--","--","--","--","654","--","--","-3","No","00:00:19.6","44","--","--","--","--","--","--","--","--","00:02:17","00:38:37","690","723"
HIIT,2026-01-10 08:33:25,false,"Hyrox","0.00","395","00:47:26","141","199","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","90","45","1","-8","No","00:47:26","1","--","--","--","--","--","--","--","--","00:47:26","00:50:16","--","--"
Strength Training,2026-01-09 11:38:58,false,"Weight lift - back and triceps","0.08","256","00:39:33","122","152","1.9","6","240","0.1","2.7","--","--","0.33","--","--","--","--","--","0.0","--","--","--","--","--","408","--","--","-3","No","00:00:02.3","46","--","--","--","--","--","--","--","--","00:03:28.5","00:39:38","702","723"
Strength Training,2026-01-07 11:37:21,false,"Weight lift - legs","0.21","219","00:45:27","110","144","1.0","10","158","0.3","3.5","7","--","0.28","--","--","--","--","--","0.0","--","--","--","--","--","240","--","--","-2","No","00:00:15.3","44","--","--","--","--","--","--","--","--","00:05:42","00:45:27","710","730"
Elliptical,2026-01-06 11:47:01,false,"Elliptical","0.00","252","00:34:47","131","159","2.1","21","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","950","--","--","-3","No","00:34:47","1","--","--","--","--","--","--","--","--","00:00:00","00:34:47","--","--"
Strength Training,2026-01-05 11:44:59,false,"Weight lift - chest and biceps","0.11","258","00:52:28","111","136","1.0","7","167","0.1","3.8","--","3","0.32","--","--","--","--","--","0.0","--","--","--","--","--","512","--","--","-2","No","00:00:28.0","44","--","--","--","--","--","--","--","--","00:03:30","00:52:33","675","726"
HIIT,2026-01-03 08:40:02,false,"Hyrox","0.00","466","00:49:07","156","197","3.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","18","9","1","-10","No","00:49:07","1","--","--","--","--","--","--","--","--","00:49:07","00:49:07","--","--"
Running,2026-01-01 15:16:33,false,"Afternoon run","6.26","670","00:55:41","178","192","4.8","179","188","8:54","6:45","308","354","1.00","8.3","8.3","247","8:52","272","0.0","267","394","--","--","--","9,926","--","--","-10","No","00:02:07.3","7","--","--","--","--","--","--","--","--","00:55:28","00:58:51","429","575"
HIIT,2025-12-29 17:12:47,false,"Hyrox","0.00","310","00:38:47","134","171","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","16","8","1","-4","No","00:38:47","1","--","--","--","--","--","--","--","--","00:38:47","00:38:47","--","--"
Walking,2025-12-28 11:27:09,false,"Midday walk","1.55","153","00:41:48","85","105","0.3","70","231","26:56","12:27","157","138","0.86","--","--","--","--","--","0.0","--","--","--","--","--","3,712","--","--","-3","No","00:12:58","2","--","--","--","--","--","--","--","--","00:32:22","00:41:48","440","505"
Running,2025-12-27 08:56:21,false,"Morning run","11.06","1,171","01:48:40","167","189","4.7","178","188","9:50","7:58","121","92","0.91","8.7","7.9","255","9:50","240","0.0","239","346","--","--","--","19,402","--","--","-24","No","00:00:30.9","12","--","--","--","--","--","--","--","--","01:48:29","01:48:40","398","439"
Other,2025-12-26 16:37:18,false,"Weight lift - back and triceps","0.00","245","00:46:24","112","150","1.1","16","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","698","--","--","-2","No","00:00:23.4","44","--","--","--","--","--","--","--","--","00:00:00","00:46:24","802","811"
Running,2025-12-25 15:17:32,false,"Christmas Day run","7.21","755","01:01:26","174","190","5.0","181","194","8:31","5:32","404","374","1.04","8.0","8.2","241","8:27","284","0.0","279","417","--","--","--","11,100","--","--","-11","No","00:00:27.0","9","--","--","--","--","--","--","--","--","01:01:04","01:03:12","453","595"
Other,2025-12-24 11:41:28,false,"Weight lift - legs","0.00","289","00:58:59","107","143","1.2","14","222","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","814","--","--","-4","No","00:00:24.3","43","--","--","--","--","--","--","--","--","00:00:00","00:58:59","895","925"
Other,2025-12-23 11:40:56,false,"Weight lift - chest and biceps","0.00","206","00:38:20","112","141","1.1","12","158","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","706","--","--","-2","No","00:00:13.2","44","--","--","--","--","--","--","--","--","00:00:00","00:38:20","934","952"
HIIT,2025-12-22 11:37:53,false,"Hyrox","0.00","323","00:32:49","145","178","3.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","288","144","1","-4","No","00:32:49","1","--","--","--","--","--","--","--","--","00:32:45","00:32:49","--","--"
HIIT,2025-12-20 08:25:04,false,"Hyrox","0.00","592","01:20:23","139","196","3.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","236","118","1","-10","No","01:20:23","1","--","--","--","--","--","--","--","--","01:20:23","01:20:23","--","--"
Other,2025-12-19 11:49:06,false,"Weight lift - back and triceps","0.00","241","00:37:19","120","147","1.6","14","231","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","--","--","--","712","--","--","-2","No","00:00:18.3","44","--","--","--","--","--","--","--","--","00:00:00","00:37:19","897","909"
HIIT,2025-12-18 11:12:42,false,"Hyrox","0.00","395","00:36:51","153","180","3.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","46","23","1","-6","No","00:36:51","1","--","--","--","--","--","--","--","--","00:36:51","00:36:51","--","--"
